id,name,countrycode,district,population
97,EstebanEcheverra,ARG,BuenosAires,235760
98,Resistencia,ARG,Chaco,229212
99,JosC.Paz,ARG,BuenosAires,221754
100,Paran,ARG,EntreRios,207041
101,GodoyCruz,ARG,Mendoza,206998
102,Posadas,ARG,Misiones,201273
103,Guaymalln,ARG,Mendoza,200595
104,SantiagodelEstero,ARG,SantiagodelEstero,189947
105,SanSalvadordeJujuy,ARG,Jujuy,178748
106,Hurlingham,ARG,BuenosAires,170028
107,Neuqun,ARG,Neuqun,167296
108,Ituzaing,ARG,BuenosAires,158197
109,SanFernando,ARG,BuenosAires,153036
110,Formosa,ARG,Formosa,147636
111,LasHeras,ARG,Mendoza,145823
112,LaRioja,ARG,LaRioja,138117
113,SanFernandodelValledeCata,ARG,Catamarca,134935
114,RoCuarto,ARG,Crdoba,134355
115,ComodoroRivadavia,ARG,Chubut,124104
116,Mendoza,ARG,Mendoza,123027
117,SanNicolsdelosArroyos,ARG,BuenosAires,119302
118,SanJuan,ARG,SanJuan,119152
119,Escobar,ARG,BuenosAires,116675
120,Concordia,ARG,EntreRios,116485
121,Pilar,ARG,BuenosAires,113428
122,SanLuis,ARG,SanLuis,110136
123,Ezeiza,ARG,BuenosAires,99578
124,SanRafael,ARG,Mendoza,94651
125,Tandil,ARG,BuenosAires,91101
126,Yerevan,ARM,Yerevan,1248700
127,Gjumri,ARM,irak,211700
128,Vanadzor,ARM,Lori,172700
129,Oranjestad,ABW,,29034
130,Sydney,AUS,NewSouthWales,3276207
131,Melbourne,AUS,Victoria,2865329
132,Brisbane,AUS,Queensland,1291117
133,Perth,AUS,WestAustralia,1096829
134,Adelaide,AUS,SouthAustralia,978100
135,Canberra,AUS,CapitalRegion,322723
136,GoldCoast,AUS,Queensland,311932
137,Newcastle,AUS,NewSouthWales,270324
138,CentralCoast,AUS,NewSouthWales,227657
139,Wollongong,AUS,NewSouthWales,219761
140,Hobart,AUS,Tasmania,126118
141,Geelong,AUS,Victoria,125382
142,Townsville,AUS,Queensland,109914
143,Cairns,AUS,Queensland,92273
144,Baku,AZE,Baki,1787800
145,Gnc,AZE,Gnc,299300
146,Sumqayit,AZE,Sumqayit,283000
147,Mingevir,AZE,Mingevir,93900
148,Nassau,BHS,NewProvidence,172000
149,al-Manama,BHR,al-Manama,148000
150,Dhaka,BGD,Dhaka,3612850
151,Chittagong,BGD,Chittagong,1392860
152,Khulna,BGD,Khulna,663340
153,Rajshahi,BGD,Rajshahi,294056
154,Narayanganj,BGD,Dhaka,202134
155,Rangpur,BGD,Rajshahi,191398
156,Mymensingh,BGD,Dhaka,188713
157,Barisal,BGD,Barisal,170232
158,Tungi,BGD,Dhaka,168702
159,Jessore,BGD,Khulna,139710
160,Comilla,BGD,Chittagong,135313
161,Nawabganj,BGD,Rajshahi,130577
162,Dinajpur,BGD,Rajshahi,127815
163,Bogra,BGD,Rajshahi,120170
164,Sylhet,BGD,Sylhet,117396
165,Brahmanbaria,BGD,Chittagong,109032
166,Tangail,BGD,Dhaka,106004
167,Jamalpur,BGD,Dhaka,103556
168,Pabna,BGD,Rajshahi,103277
169,Naogaon,BGD,Rajshahi,101266
170,Sirajganj,BGD,Rajshahi,99669
171,Narsinghdi,BGD,Dhaka,98342
172,Saidpur,BGD,Rajshahi,96777
173,Gazipur,BGD,Dhaka,96717
174,Bridgetown,BRB,StMichael,6070
175,Antwerpen,BEL,Antwerpen,446525
176,Gent,BEL,EastFlanderi,224180
177,Charleroi,BEL,Hainaut,200827
178,Lige,BEL,Lige,185639
179,Bruxelles[Brussel],BEL,Bryssel,133859
180,Brugge,BEL,WestFlanderi,116246
181,Schaerbeek,BEL,Bryssel,105692
182,Namur,BEL,Namur,105419
183,Mons,BEL,Hainaut,90935
184,BelizeCity,BLZ,BelizeCity,55810
185,Belmopan,BLZ,Cayo,7105
186,Cotonou,BEN,Atlantique,536827
187,Porto-Novo,BEN,Oum,194000
188,Djougou,BEN,Atacora,134099
189,Parakou,BEN,Borgou,103577
190,SaintGeorge,BMU,SaintGeorges,1800
191,Hamilton,BMU,Hamilton,1200
192,Thimphu,BTN,Thimphu,22000
193,SantaCruzdelaSierra,BOL,SantaCruz,935361
194,LaPaz,BOL,LaPaz,758141
195,ElAlto,BOL,LaPaz,534466
196,Cochabamba,BOL,Cochabamba,482800
197,Oruro,BOL,Oruro,223553
198,Sucre,BOL,Chuquisaca,178426
199,Potos,BOL,Potos,140642
200,Tarija,BOL,Tarija,125255
201,Sarajevo,BIH,Federaatio,360000
202,BanjaLuka,BIH,RepublikaSrpska,143079
203,Zenica,BIH,Federaatio,96027
204,Gaborone,BWA,Gaborone,213017
205,Francistown,BWA,Francistown,101805
206,SoPaulo,BRA,SoPaulo,9968485
207,RiodeJaneiro,BRA,RiodeJaneiro,5598953
208,Salvador,BRA,Bahia,2302832
209,BeloHorizonte,BRA,MinasGerais,2139125
210,Fortaleza,BRA,Cear,2097757
211,Braslia,BRA,DistritoFederal,1969868
212,Curitiba,BRA,Paran,1584232
213,Recife,BRA,Pernambuco,1378087
214,PortoAlegre,BRA,RioGrandedoSul,1314032
215,Manaus,BRA,Amazonas,1255049
216,Belm,BRA,Par,1186926
217,Guarulhos,BRA,SoPaulo,1095874
218,Goinia,BRA,Gois,1056330
219,Campinas,BRA,SoPaulo,950043
220,SoGonalo,BRA,RiodeJaneiro,869254
221,NovaIguau,BRA,RiodeJaneiro,862225
222,SoLus,BRA,Maranho,837588
223,Macei,BRA,Alagoas,786288
224,DuquedeCaxias,BRA,RiodeJaneiro,746758
225,SoBernardodoCampo,BRA,SoPaulo,723132
226,Teresina,BRA,Piau,691942
227,Natal,BRA,RioGrandedoNorte,688955
228,Osasco,BRA,SoPaulo,659604
229,CampoGrande,BRA,MatoGrossodoSul,649593
230,SantoAndr,BRA,SoPaulo,630073
231,JooPessoa,BRA,Paraba,584029
232,JaboatodosGuararapes,BRA,Pernambuco,558680
233,Contagem,BRA,MinasGerais,520801
234,SoJosdosCampos,BRA,SoPaulo,515553
235,Uberlndia,BRA,MinasGerais,487222
236,FeiradeSantana,BRA,Bahia,479992
237,RibeiroPreto,BRA,SoPaulo,473276
238,Sorocaba,BRA,SoPaulo,466823
239,Niteri,BRA,RiodeJaneiro,459884
240,Cuiab,BRA,MatoGrosso,453813
241,JuizdeFora,BRA,MinasGerais,450288
242,Aracaju,BRA,Sergipe,445555
243,SoJoodeMeriti,BRA,RiodeJaneiro,440052
244,Londrina,BRA,Paran,432257
245,Joinville,BRA,SantaCatarina,428011
246,BelfordRoxo,BRA,RiodeJaneiro,425194
247,Santos,BRA,SoPaulo,408748
248,Ananindeua,BRA,Par,400940
249,CamposdosGoytacazes,BRA,RiodeJaneiro,398418
250,Mau,BRA,SoPaulo,375055
251,Carapicuba,BRA,SoPaulo,357552
252,Olinda,BRA,Pernambuco,354732
253,CampinaGrande,BRA,Paraba,352497
254,SoJosdoRioPreto,BRA,SoPaulo,351944
255,CaxiasdoSul,BRA,RioGrandedoSul,349581
256,MojidasCruzes,BRA,SoPaulo,339194
257,Diadema,BRA,SoPaulo,335078
258,AparecidadeGoinia,BRA,Gois,324662
259,Piracicaba,BRA,SoPaulo,319104
260,Cariacica,BRA,EspritoSanto,319033
261,VilaVelha,BRA,EspritoSanto,318758
262,Pelotas,BRA,RioGrandedoSul,315415
263,Bauru,BRA,SoPaulo,313670
264,PortoVelho,BRA,Rondnia,309750
265,Serra,BRA,EspritoSanto,302666
266,Betim,BRA,MinasGerais,302108
267,Junda,BRA,SoPaulo,296127
268,Canoas,BRA,RioGrandedoSul,294125
269,Franca,BRA,SoPaulo,290139
270,SoVicente,BRA,SoPaulo,286848
271,Maring,BRA,Paran,286461
272,MontesClaros,BRA,MinasGerais,286058
273,Anpolis,BRA,Gois,282197
274,Florianpolis,BRA,SantaCatarina,281928
275,Petrpolis,BRA,RiodeJaneiro,279183
276,Itaquaquecetuba,BRA,SoPaulo,270874
277,Vitria,BRA,EspritoSanto,270626
278,PontaGrossa,BRA,Paran,268013
279,RioBranco,BRA,Acre,259537
280,FozdoIguau,BRA,Paran,259425
281,Macap,BRA,Amap,256033
282,Ilhus,BRA,Bahia,254970
283,VitriadaConquista,BRA,Bahia,253587
284,Uberaba,BRA,MinasGerais,249225
285,Paulista,BRA,Pernambuco,248473
286,Limeira,BRA,SoPaulo,245497
287,Blumenau,BRA,SantaCatarina,244379
288,Caruaru,BRA,Pernambuco,244247
289,Santarm,BRA,Par,241771
290,VoltaRedonda,BRA,RiodeJaneiro,240315
291,NovoHamburgo,BRA,RioGrandedoSul,239940
292,Caucaia,BRA,Cear,238738
293,SantaMaria,BRA,RioGrandedoSul,238473
294,Cascavel,BRA,Paran,237510
295,Guaruj,BRA,SoPaulo,237206
296,RibeirodasNeves,BRA,MinasGerais,232685
297,GovernadorValadares,BRA,MinasGerais,231724
298,Taubat,BRA,SoPaulo,229130
299,Imperatriz,BRA,Maranho,224564
300,Gravata,BRA,RioGrandedoSul,223011
301,Embu,BRA,SoPaulo,222223
302,Mossor,BRA,RioGrandedoNorte,214901
303,VrzeaGrande,BRA,MatoGrosso,214435
304,Petrolina,BRA,Pernambuco,210540
305,Barueri,BRA,SoPaulo,208426
306,Viamo,BRA,RioGrandedoSul,207557
307,Ipatinga,BRA,MinasGerais,206338
308,Juazeiro,BRA,Bahia,201073
309,JuazeirodoNorte,BRA,Cear,199636
310,TaboodaSerra,BRA,SoPaulo,197550
311,SoJosdosPinhais,BRA,Paran,196884
312,Mag,BRA,RiodeJaneiro,196147
313,Suzano,BRA,SoPaulo,195434
314,SoLeopoldo,BRA,RioGrandedoSul,189258
315,Marlia,BRA,SoPaulo,188691
316,SoCarlos,BRA,SoPaulo,187122
317,Sumar,BRA,SoPaulo,186205
318,PresidentePrudente,BRA,SoPaulo,185340
319,Divinpolis,BRA,MinasGerais,185047
320,SeteLagoas,BRA,MinasGerais,182984
321,RioGrande,BRA,RioGrandedoSul,182222
322,Itabuna,BRA,Bahia,182148
323,Jequi,BRA,Bahia,179128
324,Arapiraca,BRA,Alagoas,178988
325,Colombo,BRA,Paran,177764
326,Americana,BRA,SoPaulo,177409
327,Alvorada,BRA,RioGrandedoSul,175574
328,Araraquara,BRA,SoPaulo,174381
329,Itabora,BRA,RiodeJaneiro,173977
330,SantaBrbaradOeste,BRA,SoPaulo,171657
331,NovaFriburgo,BRA,RiodeJaneiro,170697
332,Jacare,BRA,SoPaulo,170356
333,Araatuba,BRA,SoPaulo,169303
334,BarraMansa,BRA,RiodeJaneiro,168953
335,PraiaGrande,BRA,SoPaulo,168434
336,Marab,BRA,Par,167795
337,Cricima,BRA,SantaCatarina,167661
338,BoaVista,BRA,Roraima,167185
339,PassoFundo,BRA,RioGrandedoSul,166343
340,Dourados,BRA,MatoGrossodoSul,164716
341,SantaLuzia,BRA,MinasGerais,164704
342,RioClaro,BRA,SoPaulo,163551
343,Maracana,BRA,Cear,162022
344,Guarapuava,BRA,Paran,160510
345,Rondonpolis,BRA,MatoGrosso,155115
346,SoJos,BRA,SantaCatarina,155105
347,CachoeirodeItapemirim,BRA,EspritoSanto,155024
348,Nilpolis,BRA,RiodeJaneiro,153383
349,Itapevi,BRA,SoPaulo,150664
350,CabodeSantoAgostinho,BRA,Pernambuco,149964
351,Camaari,BRA,Bahia,149146
352,Sobral,BRA,Cear,146005
353,Itaja,BRA,SantaCatarina,145197
354,Chapec,BRA,SantaCatarina,144158
355,Cotia,BRA,SoPaulo,140042
356,Lages,BRA,SantaCatarina,139570
357,FerrazdeVasconcelos,BRA,SoPaulo,139283
358,Indaiatuba,BRA,SoPaulo,135968
359,Hortolndia,BRA,SoPaulo,135755
360,Caxias,BRA,Maranho,133980
361,SoCaetanodoSul,BRA,SoPaulo,133321
362,Itu,BRA,SoPaulo,132736
363,NossaSenhoradoSocorro,BRA,Sergipe,131351
364,Parnaba,BRA,Piau,129756
365,PoosdeCaldas,BRA,MinasGerais,129683
366,Terespolis,BRA,RiodeJaneiro,128079
367,Barreiras,BRA,Bahia,127801
368,Castanhal,BRA,Par,127634
369,Alagoinhas,BRA,Bahia,126820
370,ItapecericadaSerra,BRA,SoPaulo,126672
371,Uruguaiana,BRA,RioGrandedoSul,126305
372,Paranagu,BRA,Paran,126076
373,Ibirit,BRA,MinasGerais,125982
374,Timon,BRA,Maranho,125812
375,Luzinia,BRA,Gois,125597
376,Maca,BRA,RiodeJaneiro,125597
377,TefiloOtoni,BRA,MinasGerais,124489
378,Moji-Guau,BRA,SoPaulo,123782
379,Palmas,BRA,Tocantins,121919
380,Pindamonhangaba,BRA,SoPaulo,121904
381,FranciscoMorato,BRA,SoPaulo,121197
382,Bag,BRA,RioGrandedoSul,120793
383,SapucaiadoSul,BRA,RioGrandedoSul,120217
384,CaboFrio,BRA,RiodeJaneiro,119503
385,Itapetininga,BRA,SoPaulo,119391
386,PatosdeMinas,BRA,MinasGerais,119262
387,Camaragibe,BRA,Pernambuco,118968
388,BraganaPaulista,BRA,SoPaulo,116929
389,Queimados,BRA,RiodeJaneiro,115020
390,Araguana,BRA,Tocantins,114948
391,Garanhuns,BRA,Pernambuco,114603
392,VitriadeSantoAnto,BRA,Pernambuco,113595
393,SantaRita,BRA,Paraba,113135
394,Barbacena,BRA,MinasGerais,113079
395,Abaetetuba,BRA,Par,111258
396,Ja,BRA,SoPaulo,109965
397,LaurodeFreitas,BRA,Bahia,109236
398,FrancodaRocha,BRA,SoPaulo,108964
399,TeixeiradeFreitas,BRA,Bahia,108441
400,Varginha,BRA,MinasGerais,108314
401,RibeiroPires,BRA,SoPaulo,108121
402,Sabar,BRA,MinasGerais,107781
403,Catanduva,BRA,SoPaulo,107761
404,RioVerde,BRA,Gois,107755
405,Botucatu,BRA,SoPaulo,107663
406,Colatina,BRA,EspritoSanto,107354
407,SantaCruzdoSul,BRA,RioGrandedoSul,106734
408,Linhares,BRA,EspritoSanto,106278
409,Apucarana,BRA,Paran,105114
410,Barretos,BRA,SoPaulo,104156
411,Guaratinguet,BRA,SoPaulo,103433
412,Cachoeirinha,BRA,RioGrandedoSul,103240
413,Cod,BRA,Maranho,103153
414,JaragudoSul,BRA,SantaCatarina,102580
415,Cubato,BRA,SoPaulo,102372
416,Itabira,BRA,MinasGerais,102217
417,Itaituba,BRA,Par,101320
418,Araras,BRA,SoPaulo,101046
419,Resende,BRA,RiodeJaneiro,100627
420,Atibaia,BRA,SoPaulo,100356
421,PousoAlegre,BRA,MinasGerais,100028
422,Toledo,BRA,Paran,99387
423,Crato,BRA,Cear,98965
424,Passos,BRA,MinasGerais,98570
425,Araguari,BRA,MinasGerais,98399
426,SoJosdeRibamar,BRA,Maranho,98318
427,Pinhais,BRA,Paran,98198
428,Sertozinho,BRA,SoPaulo,98140
429,ConselheiroLafaiete,BRA,MinasGerais,97507
430,PauloAfonso,BRA,Bahia,97291
431,AngradosReis,BRA,RiodeJaneiro,96864
432,Eunpolis,BRA,Bahia,96610
433,Salto,BRA,SoPaulo,96348
434,Ourinhos,BRA,SoPaulo,96291
435,Parnamirim,BRA,RioGrandedoNorte,96210
436,Jacobina,BRA,Bahia,96131
437,CoronelFabriciano,BRA,MinasGerais,95933
438,Birigui,BRA,SoPaulo,94685
439,Tatu,BRA,SoPaulo,93897
440,Ji-Paran,BRA,Rondnia,93346
441,Bacabal,BRA,Maranho,93121
442,Camet,BRA,Par,92779
443,Guaba,BRA,RioGrandedoSul,92224
444,SoLourenodaMata,BRA,Pernambuco,91999
445,SantanadoLivramento,BRA,RioGrandedoSul,91779
446,Votorantim,BRA,SoPaulo,91777
447,CampoLargo,BRA,Paran,91203
448,Patos,BRA,Paraba,90519
449,Ituiutaba,BRA,MinasGerais,90507
450,Corumb,BRA,MatoGrossodoSul,90111
451,Palhoa,BRA,SantaCatarina,89465
452,BarradoPira,BRA,RiodeJaneiro,89388
453,BentoGonalves,BRA,RioGrandedoSul,89254
454,Po,BRA,SoPaulo,89236
455,guasLindasdeGois,BRA,Gois,89200
456,London,GBR,England,7285000
457,Birmingham,GBR,England,1013000
458,Glasgow,GBR,Scotland,619680
459,Liverpool,GBR,England,461000
460,Edinburgh,GBR,Scotland,450180
461,Sheffield,GBR,England,431607
462,Manchester,GBR,England,430000
463,Leeds,GBR,England,424194
464,Bristol,GBR,England,402000
465,Cardiff,GBR,Wales,321000
466,Coventry,GBR,England,304000
467,Leicester,GBR,England,294000
468,Bradford,GBR,England,289376
469,Belfast,GBR,NorthIreland,287500
470,Nottingham,GBR,England,287000
471,KingstonuponHull,GBR,England,262000
472,Plymouth,GBR,England,253000
473,Stoke-on-Trent,GBR,England,252000
474,Wolverhampton,GBR,England,242000
475,Derby,GBR,England,236000
476,Swansea,GBR,Wales,230000
477,Southampton,GBR,England,216000
478,Aberdeen,GBR,Scotland,213070
479,Northampton,GBR,England,196000
480,Dudley,GBR,England,192171
481,Portsmouth,GBR,England,190000
482,NewcastleuponTyne,GBR,England,189150
483,Sunderland,GBR,England,183310
484,Luton,GBR,England,183000
485,Swindon,GBR,England,180000
486,Southend-on-Sea,GBR,England,176000
487,Walsall,GBR,England,174739
488,Bournemouth,GBR,England,162000
489,Peterborough,GBR,England,156000
490,Brighton,GBR,England,156124
491,Blackpool,GBR,England,151000
492,Dundee,GBR,Scotland,146690
493,WestBromwich,GBR,England,146386
494,Reading,GBR,England,148000
495,Oldbury/SmethwickWarley,GBR,England,145542
496,Middlesbrough,GBR,England,145000
497,Huddersfield,GBR,England,143726
498,Oxford,GBR,England,144000
499,Poole,GBR,England,141000
500,Bolton,GBR,England,139020
501,Blackburn,GBR,England,140000
502,Newport,GBR,Wales,139000
503,Preston,GBR,England,135000
504,Stockport,GBR,England,132813
505,Norwich,GBR,England,124000
506,Rotherham,GBR,England,121380
507,Cambridge,GBR,England,121000
508,Watford,GBR,England,113080
509,Ipswich,GBR,England,114000
510,Slough,GBR,England,112000
511,Exeter,GBR,England,111000
512,Cheltenham,GBR,England,106000
513,Gloucester,GBR,England,107000
514,SaintHelens,GBR,England,106293
515,SuttonColdfield,GBR,England,106001
516,York,GBR,England,104425
517,Oldham,GBR,England,103931
518,Basildon,GBR,England,100924
519,Worthing,GBR,England,100000
520,Chelmsford,GBR,England,97451
521,Colchester,GBR,England,96063
522,Crawley,GBR,England,97000
523,Gillingham,GBR,England,92000
524,Solihull,GBR,England,94531
525,Rochdale,GBR,England,94313
526,Birkenhead,GBR,England,93087
527,Worcester,GBR,England,95000
528,Hartlepool,GBR,England,92000
529,Halifax,GBR,England,91069
530,Woking/Byfleet,GBR,England,92000
531,Southport,GBR,England,90959
532,Maidstone,GBR,England,90878
533,Eastbourne,GBR,England,90000
534,Grimsby,GBR,England,89000
535,SaintHelier,GBR,Jersey,27523
536,Douglas,GBR,,23487
537,RoadTown,VGB,Tortola,8000
538,BandarSeriBegawan,BRN,BruneiandMuara,21484
539,Sofija,BGR,GradSofija,1122302
540,Plovdiv,BGR,Plovdiv,342584
541,Varna,BGR,Varna,299801
542,Burgas,BGR,Burgas,195255
543,Ruse,BGR,Ruse,166467
544,StaraZagora,BGR,Haskovo,147939
545,Pleven,BGR,Lovec,121952
546,Sliven,BGR,Burgas,105530
547,Dobric,BGR,Varna,100399
548,umen,BGR,Varna,94686
549,Ouagadougou,BFA,Kadiogo,824000
550,Bobo-Dioulasso,BFA,Houet,300000
551,Koudougou,BFA,Boulkiemd,105000
552,Bujumbura,BDI,Bujumbura,300000
553,GeorgeTown,CYM,GrandCayman,19600
554,SantiagodeChile,CHL,Santiago,4703954
555,PuenteAlto,CHL,Santiago,386236
556,ViadelMar,CHL,Valparaso,312493
557,Valparaso,CHL,Valparaso,293800
558,Talcahuano,CHL,Bobo,277752
559,Antofagasta,CHL,Antofagasta,251429
560,SanBernardo,CHL,Santiago,241910
561,Temuco,CHL,LaAraucana,233041
562,Concepcin,CHL,Bobo,217664
563,Rancagua,CHL,OHiggins,212977
564,Arica,CHL,Tarapac,189036
565,Talca,CHL,Maule,187557
566,Chilln,CHL,Bobo,178182
567,Iquique,CHL,Tarapac,177892
568,LosAngeles,CHL,Bobo,158215
569,PuertoMontt,CHL,LosLagos,152194
570,Coquimbo,CHL,Coquimbo,143353
571,Osorno,CHL,LosLagos,141468
572,LaSerena,CHL,Coquimbo,137409
573,Calama,CHL,Antofagasta,137265
574,Valdivia,CHL,LosLagos,133106
575,PuntaArenas,CHL,Magallanes,125631
576,Copiap,CHL,Atacama,120128
577,Quilpu,CHL,Valparaso,118857
578,Curic,CHL,Maule,115766
579,Ovalle,CHL,Coquimbo,94854
580,Coronel,CHL,Bobo,93061
581,SanPedrodelaPaz,CHL,Bobo,91684
582,Melipilla,CHL,Santiago,91056
583,Avarua,COK,Rarotonga,11900
584,SanJos,CRI,SanJos,339131
585,Djibouti,DJI,Djibouti,383000
586,Roseau,DMA,StGeorge,16243
587,SantoDomingodeGuzmn,DOM,DistritoNacional,1609966
588,SantiagodelosCaballeros,DOM,Santiago,365463
589,LaRomana,DOM,LaRomana,140204
590,SanPedrodeMacors,DOM,SanPedrodeMacors,124735
591,SanFranciscodeMacors,DOM,Duarte,108485
592,SanFelipedePuertoPlata,DOM,PuertoPlata,89423
593,Guayaquil,ECU,Guayas,2070040
594,Quito,ECU,Pichincha,1573458
595,Cuenca,ECU,Azuay,270353
596,Machala,ECU,ElOro,210368
597,SantoDomingodelosColorados,ECU,Pichincha,202111
598,Portoviejo,ECU,Manab,176413
599,Ambato,ECU,Tungurahua,169612
600,Manta,ECU,Manab,164739
601,Duran[EloyAlfaro],ECU,Guayas,152514
602,Ibarra,ECU,Imbabura,130643
603,Quevedo,ECU,LosRos,129631
604,Milagro,ECU,Guayas,124177
605,Loja,ECU,Loja,123875
606,Robamba,ECU,Chimborazo,123163
607,Esmeraldas,ECU,Esmeraldas,123045
608,Cairo,EGY,Kairo,6789479
609,Alexandria,EGY,Aleksandria,3328196
610,Giza,EGY,Giza,2221868
611,Shubraal-Khayma,EGY,al-Qalyubiya,870716
612,PortSaid,EGY,PortSaid,469533
613,Suez,EGY,Suez,417610
614,al-Mahallatal-Kubra,EGY,al-Gharbiya,395402
615,Tanta,EGY,al-Gharbiya,371010
616,al-Mansura,EGY,al-Daqahliya,369621
617,Luxor,EGY,Luxor,360503
618,Asyut,EGY,Asyut,343498
619,Bahtim,EGY,al-Qalyubiya,275807
620,Zagazig,EGY,al-Sharqiya,267351
621,al-Faiyum,EGY,al-Faiyum,260964
622,Ismailia,EGY,Ismailia,254477
623,Kafral-Dawwar,EGY,al-Buhayra,231978
624,Assuan,EGY,Assuan,219017
625,Damanhur,EGY,al-Buhayra,212203
626,al-Minya,EGY,al-Minya,201360
627,BaniSuwayf,EGY,BaniSuwayf,172032
628,Qina,EGY,Qina,171275
629,Sawhaj,EGY,Sawhaj,170125
630,Shibinal-Kawm,EGY,al-Minufiya,159909
631,Bulaqal-Dakrur,EGY,Giza,148787
632,Banha,EGY,al-Qalyubiya,145792
633,Warraqal-Arab,EGY,Giza,127108
634,Kafral-Shaykh,EGY,Kafral-Shaykh,124819
635,Mallawi,EGY,al-Minya,119283
636,Bilbays,EGY,al-Sharqiya,113608
637,MitGhamr,EGY,al-Daqahliya,101801
638,al-Arish,EGY,ShamalSina,100447
639,Talkha,EGY,al-Daqahliya,97700
640,Qalyub,EGY,al-Qalyubiya,97200
641,Jirja,EGY,Sawhaj,95400
642,Idfu,EGY,Qina,94200
643,al-Hawamidiya,EGY,Giza,91700
644,Disuq,EGY,Kafral-Shaykh,91300
645,SanSalvador,SLV,SanSalvador,415346
